country, nMesurements,meanRTT,percentile25RTT,medianRTT,percentile75RTT,percentile90RTT,maxRTT
HK,24,163.47650000000002,157.40975,160.652,162.58474999999999,167.8475,238.324
VN,5,190.841,182.677,193.921,200.249,201.6554,202.593
PL,268,174.25304850746267,165.8875,170.34199999999998,180.8585,194.2504,255.905
GI,3,194.562,190.66250000000002,198.092,200.2265,201.5072,202.361
PG,2,354.433,342.1515,354.433,366.71449999999993,374.0834,378.996
MV,5,226.10399999999998,218.129,222.05,233.119,236.8054,239.263
SA,9,255.22766666666666,218.332,257.78,277.353,311.2528,317.86
RS,50,170.84334,165.863,169.84300000000002,174.23275,177.95589999999999,189.753
MA,7,213.26642857142855,206.74599999999998,220.544,221.9755,223.80759999999998,225.529
SM,3,145.72966666666665,141.5745,153.146,153.593,153.8612,154.04
RU,548,200.36165328467155,180.82925,190.2885,208.69375,230.8297,1038.777
ZW,3,313.44266666666664,309.758,313.234,317.023,319.2964,320.812
VU,1,215.45,215.45,215.45,215.45,215.45,215.45
MZ,7,308.9861428571429,305.65599999999995,305.925,308.0565,316.2224,326.396
GB,714,146.01706582633054,134.8205,142.92700000000002,154.53300000000002,174.53480000000002,415.46
EC,10,130.5319,114.332,134.026,141.13549999999998,151.8071,197.969
US,1380,61.67148913043478,35.872,64.1395,78.15724999999999,91.2103,1208.345
PA,5,119.8616,113.007,113.249,116.721,136.25220000000002,149.273
IM,5,166.676,151.006,162.24,175.448,187.67600000000002,195.828
BB,4,125.64699999999999,123.76700000000001,124.3425,126.2225,128.6282,130.232
ZM,3,321.762,300.1,326.237,345.66150000000005,357.3162,365.086
RW,3,314.92533333333336,313.927,316.425,316.6735,316.8226,316.922
MH,2,221.1585,218.51524999999998,221.1585,223.80175000000003,225.3877,226.445
SE,235,163.65052340425535,158.5275,162.81,166.933,173.043,222.767
KR,16,181.7929375,150.60450000000003,176.41,216.91325,217.48149999999998,217.775
BN,2,201.8465,201.05725,201.8465,202.63575000000003,203.10930000000002,203.425
LK,9,275.57444444444445,286.868,288.954,292.304,299.867,310.295
KG,2,225.18200000000002,224.183,225.18200000000002,226.18099999999998,226.78040000000001,227.18
LC,1,119.55,119.55,119.55,119.55,119.55,119.55
SD,5,292.0534,220.769,239.612,270.688,422.5006,523.709
GF,1,83.816,83.816,83.816,83.816,83.816,83.816
AU,202,204.96494554455444,171.852,191.7595,224.19774999999998,274.801,369.245
NL,638,154.46236206896552,139.306,147.0725,170.1565,179.24660000000003,497.472
LA,1,210.189,210.189,210.189,210.189,210.189,210.189
PE,8,145.096375,135.6645,150.2945,152.72899999999998,155.0849,158.363
MM,5,223.13539999999998,222.92,223.541,224.056,226.2688,227.744
BO,36,184.52930555555557,118.11250000000001,168.54899999999998,249.49625,265.8895,421.838
MQ,1,97.196,97.196,97.196,97.196,97.196,97.196
MW,5,357.5694,349.135,353.387,369.155,369.2072,369.242
